Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.42,1243040.44,4633.75,-1
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.32,1243040.93,4633.76,-0.5
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.22,1243041.42,4633.77,0
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.12,1243041.91,4633.78,0.5
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.01,1243042.4,4633.75,1
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.91,1243042.89,4633.7,1.5
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.81,1243043.37,4633.65,1.99
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.71,1243043.86,4633.6,2.49
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.6,1243044.35,4633.54,3
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.5,1243044.84,4633.52,3.5
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.4,1243045.33,4633.55,4
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.3,1243045.82,4633.58,4.5
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.29,1243045.86,4633.58,4.54
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.37,1243046.35,4633.48,5.03
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.45,1243046.85,4633.36,5.54
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.54,1243047.34,4633.23,6.04
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.62,1243047.83,4633.14,6.53
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.7,1243048.33,4633.08,7.04
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.78,1243048.82,4633.02,7.54
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.86,1243049.31,4632.96,8.03
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.95,1243049.81,4632.77,8.54
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.03,1243050.3,4632.59,9.04
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.11,1243050.79,4632.4,9.53
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.15,1243051.03,4632.33,9.78
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.25,1243051.52,4632.16,10.28
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.35,1243052.01,4631.99,10.78
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.44,1243052.47,4631.9,11.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.38,1243052.97,4631.89,11.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.33,1243053.46,4631.86,12.24
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.27,1243053.96,4631.82,12.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.21,1243054.46,4631.79,13.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.16,1243054.95,4631.76,13.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.1,1243055.45,4631.73,14.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485026.05,1243055.95,4631.7,14.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.99,1243056.44,4631.66,15.24
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.93,1243056.94,4631.63,15.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.88,1243057.44,4631.6,16.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.82,1243057.93,4631.57,16.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.76,1243058.43,4631.53,17.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.71,1243058.93,4631.5,17.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.65,1243059.43,4631.47,18.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.6,1243059.92,4631.44,18.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.54,1243060.42,4631.41,19.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.48,1243060.92,4631.37,19.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.43,1243061.41,4631.34,20.24
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.37,1243061.91,4631.31,20.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.31,1243062.41,4631.28,21.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.26,1243062.9,4631.25,21.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.2,1243063.4,4631.21,22.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.14,1243063.9,4631.18,22.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.09,1243064.39,4631.15,23.24
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485025.03,1243064.89,4631.12,23.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.98,1243065.39,4631.09,24.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.92,1243065.88,4631.05,24.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.86,1243066.38,4631.02,25.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.81,1243066.88,4630.99,25.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.75,1243067.37,4630.96,26.24
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.69,1243067.87,4630.92,26.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.64,1243068.37,4630.89,27.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.58,1243068.86,4630.86,27.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.52,1243069.36,4630.83,28.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.47,1243069.86,4630.8,28.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.41,1243070.36,4630.76,29.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.36,1243070.85,4630.73,29.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.3,1243071.35,4630.7,30.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.24,1243071.85,4630.67,30.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.19,1243072.34,4630.64,31.24
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.13,1243072.84,4630.6,31.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.07,1243073.34,4630.57,32.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485024.02,1243073.83,4630.54,32.74
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485023.96,1243074.33,4630.51,33.25
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485023.91,1243074.83,4630.48,33.75
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",8/16/2023 and 9/06/2023,Upstream,485023.85,1243075.32,4630.44,34.24
