Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968723.3,889663.62,3332.16,10
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968723.43,889663.64,3332.1,10.13
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968731.88,889664.53,3327.57,18.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968737.05,889665.08,3326.55,23.83
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968737.12,889665.08,3326.52,23.9
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968737.41,889665.11,3326.44,24.19
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968740.84,889665.48,3324.68,27.64
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968740.9,889665.48,3324.61,27.7
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968747.86,889666.22,3323.54,34.7
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968748.18,889666.25,3323.53,35.02
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968748.3,889666.26,3323.53,35.14
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968754.14,889666.88,3322.56,41.01
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968757.71,889667.26,3322.31,44.6
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968757.91,889667.28,3322.3,44.8
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968758.22,889667.31,3322.31,45.12
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968759.96,889667.5,3322.2,46.87
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968763.28,889667.85,3322.08,50.2
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968763.39,889667.86,3322.08,50.31
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968763.66,889667.89,3322.08,50.59
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968768.02,889668.35,3322.04,54.97
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968768.79,889668.43,3322.05,55.74
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968773.32,889668.91,3322.03,60.3
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968774.85,889669.07,3322.11,61.84
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968775.96,889669.19,3322.15,62.95
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968776.93,889669.29,3322.15,63.93
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968781.54,889669.77,3321.59,68.56
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968782.52,889669.88,3320.9,69.55
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968782.71,889669.9,3320.81,69.74
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968782.78,889669.91,3320.77,69.81
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968782.89,889669.92,3320.76,69.92
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968784.59,889670.1,3320.48,71.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968784.69,889670.11,3320.46,71.73
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968787.81,889670.44,3320.79,74.87
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968789.38,889670.6,3320.78,76.45
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968789.81,889670.65,3320.73,76.88
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968790.13,889670.68,3320.69,77.2
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968798.1,889671.52,3321.01,85.22
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968798.21,889671.54,3321,85.33
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968798.55,889671.57,3320.96,85.67
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968798.59,889671.58,3320.96,85.71
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968800.81,889671.81,3320.93,87.94
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968800.83,889671.81,3320.93,87.96
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968800.84,889671.81,3320.94,87.97
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968807.92,889672.56,3319.28,95.09
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968809.24,889672.7,3319.97,96.42
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968810.08,889672.79,3320.75,97.27
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968810.66,889672.85,3321.17,97.85
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968813.02,889673.1,3322.61,100.22
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968818.38,889673.67,3325.06,105.61
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968818.42,889673.67,3325.06,105.65
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968818.45,889673.67,3325.06,105.68
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968821.55,889674,3326.09,108.8
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968821.63,889674.01,3326.09,108.88
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968821.69,889674.02,3326.09,108.94
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968831.33,889675.03,3326.62,118.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968831.87,889675.09,3326.54,119.18
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968834.65,889675.38,3326.14,121.97
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968835.74,889675.5,3325.97,123.07
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968837.3,889675.66,3325.87,124.64
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968837.61,889675.7,3325.83,124.95
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968837.63,889675.7,3325.82,124.97
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968841.4,889676.1,3325,128.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968841.61,889676.12,3324.94,128.97
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968843.77,889676.35,3324.46,131.14
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968844.52,889676.43,3324.27,131.9
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968847.24,889676.71,3323.61,134.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968848.09,889676.8,3323.43,135.49
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968849.11,889676.91,3323.61,136.51
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968849.36,889676.94,3323.75,136.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968851.79,889677.2,3323.94,139.21
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968851.84,889677.2,3323.7,139.26
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968856.08,889677.65,3325.7,143.52
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968856.18,889677.66,3325.78,143.62
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968856.45,889677.69,3325.71,143.89
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968858.78,889677.93,3324.45,146.24
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968859.03,889677.96,3324.31,146.49
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968860.87,889678.15,3322.74,148.34
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968861.59,889678.23,3322.54,149.06
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968862.79,889678.36,3322.08,150.27
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968863.88,889678.47,3321.84,151.37
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968864.32,889678.52,3321.74,151.81
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968865.54,889678.65,3321.5,153.04
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968866.09,889678.71,3321.49,153.59
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968867.5,889678.86,3321.39,155.01
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968868.65,889678.98,3321.35,156.16
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968870.58,889679.18,3321.37,158.1
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968875.54,889679.7,3321.05,163.09
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968876.52,889679.81,3320.48,164.08
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968876.58,889679.81,3320.3,164.14
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968876.79,889679.84,3320.29,164.35
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968878.35,889680,3320.12,165.92
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968878.48,889680.01,3320.54,166.05
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968878.72,889680.04,3320.47,166.29
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968879.07,889680.08,3320.39,166.64
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",9/22/2015,Upstream,968879.35,889680.11,3320.63,166.92
