Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193977.6810,1549491.1480,6568.02,7.00
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193980.2930,1549491.0801,6566.12,9.61
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193980.6268,1549491.0714,6564.86,9.95
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193982.2985,1549491.0280,6563.54,11.62
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193982.8985,1549491.0124,6561.70,12.22
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193984.6110,1549490.9679,6561.00,13.93
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193985.1138,1549490.9548,6560.01,14.44
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193988.1350,1549490.8763,6560.15,17.46
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193989.9226,1549490.8298,6559.41,19.25
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193990.4101,1549490.8172,6559.19,19.73
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193993.4436,1549490.7383,6557.80,22.77
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193996.4439,1549490.6603,6558.12,25.77
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193996.4912,1549490.6591,6557.94,25.82
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193996.4910,1549490.6591,6557.97,25.82
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193997.4660,1549490.6338,6558.23,26.79
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193998.7688,1549490.5999,6557.71,28.09
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,193999.9786,1549490.5685,6557.36,29.31
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194001.6212,1549490.5258,6557.78,30.95
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194003.4425,1549490.4784,6558.95,32.77
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194004.9605,1549490.4390,6559.74,34.29
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194006.1588,1549490.4079,6560.52,35.49
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194009.1360,1549490.3305,6562.00,38.47
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194010.4737,1549490.2957,6564.27,39.80
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194012.3963,1549490.2457,6565.15,41.73
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194013.8671,1549490.2075,6565.91,43.20
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194015.3977,1549490.1677,6566.60,44.73
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194016.1812,1549490.1474,6568.75,45.51
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Upstream,194018.1960,1549490.0950,6568.83,47.53
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193977.7090,1549454.7240,6567.38,6.00
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193979.7826,1549454.6959,6566.27,8.07
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193981.1523,1549454.6773,6565.15,9.44
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193981.8774,1549454.6674,6563.43,10.17
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193983.4372,1549454.6462,6562.74,11.73
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193985.1388,1549454.6231,6562.26,13.43
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193987.2441,1549454.5946,6561.05,15.54
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193989.5582,1549454.5631,6559.67,17.85
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193989.6659,1549454.5617,6559.69,17.96
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193990.7991,1549454.5463,6558.87,19.09
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193992.6994,1549454.5205,6558.84,20.99
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193993.3926,1549454.5111,6558.35,21.69
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193995.1942,1549454.4866,6557.86,23.49
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193996.1481,1549454.4737,6557.66,24.44
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193997.4420,1549454.4561,6557.79,25.73
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,193998.9955,1549454.4350,6557.69,27.29
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194000.1768,1549454.4190,6557.58,28.47
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194001.6814,1549454.3986,6557.80,29.97
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194003.2190,1549454.3777,6557.60,31.51
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194004.9773,1549454.3538,6557.99,33.27
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194005.8742,1549454.3417,6557.62,34.17
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194009.3196,1549454.2949,6558.77,37.61
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194009.7362,1549454.2892,6558.78,38.03
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194010.7381,1549454.2756,6559.24,39.03
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194013.4456,1549454.2389,6561.41,41.74
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194015.2074,1549454.2150,6562.41,43.50
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194016.8369,1549454.1928,6565.65,45.13
P00050 007+0.562-1,Cougar Creek,"7 miles north West Yellowstone, Montana",8/1/2019,Downstream,194019.1830,1549454.1610,6566.98,47.48
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.3400,1243079.4100,4630.19,40.00
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.3400,1243079.4200,4630.19,40.01
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.3400,1243079.4300,4630.19,40.02
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.3400,1243079.4400,4630.19,40.03
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.3400,1243079.4400,4630.19,40.03
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.3400,1243079.4500,4630.19,40.04
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.2000,1243081.5700,4630.19,42.16
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.0600,1243083.8500,4630.29,44.45
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485023.0500,1243084.0000,4630.30,44.60
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.9000,1243086.5500,4630.64,47.15
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.8900,1243086.5800,4630.64,47.19
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.7400,1243089.0200,4630.40,49.63
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.7400,1243089.0300,4630.41,49.64
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.5400,1243092.2500,4630.58,52.87
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.5300,1243092.3900,4630.57,53.01
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.4100,1243094.3000,4630.33,54.92
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.3300,1243095.6900,4630.25,56.31
P00049 027+0.541,Beaverhead River,"At Twin Bridges, Montana",7/24/2019,Upstream,485022.2700,1243096.6100,4630.23,57.23
