Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556480.572,1167958.24,3952.34,0
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556480.015,1167959.133,3951.11,1.05
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556479.323,1167960.241,3950.23,2.36
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556476.053,1167965.477,3949.06,8.53
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556474.651,1167967.723,3948.09,11.18
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556473.177,1167970.083,3946.08,13.96
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556471.83,1167972.24,3945.22,16.51
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556470.649,1167974.131,3944.73,18.73
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556469.599,1167975.813,3943.58,20.72
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556468.423,1167977.697,3943.12,22.94
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556467.392,1167979.348,3943.21,24.88
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556466.523,1167980.74,3942.08,26.53
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556465.795,1167981.906,3941.76,27.9
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556464.558,1167983.887,3940.82,30.24
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556463.609,1167985.408,3940.58,32.03
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556462.65,1167986.942,3940.31,33.84
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556461.758,1167988.372,3939.85,35.52
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556460.999,1167989.586,3939.37,36.95
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556459.448,1167992.071,3939.33,39.88
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556457.999,1167994.391,3939.29,42.62
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556457.186,1167995.694,3939.6,44.16
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556454.378,1168000.19,3939.44,49.46
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556455.067,1167999.088,3939.4,48.16
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556455.636,1167998.175,3938.99,47.08
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556453.529,1168001.55,3939,51.06
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",11/7/2012,Upstream,1556453.19,1168002.094,3939.13,51.7
