Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968723.3600,889663.0600,3332.32,6.00
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968723.3700,889663.0600,3332.33,6.01
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968725.0400,889663.2200,3331.33,7.69
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968726.7300,889663.3800,3331.14,9.39
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968727.3300,889663.4400,3329.91,9.99
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968730.1200,889663.7000,3329.94,12.79
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968731.4600,889663.8300,3329.70,14.14
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968732.9500,889663.9700,3328.42,15.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968733.6100,889664.0400,3328.30,16.30
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968738.8100,889664.5300,3325.52,21.52
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968740.7100,889664.7100,3324.60,23.43
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968740.7400,889664.7200,3324.58,23.46
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968746.0500,889665.2200,3324.60,28.79
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968746.2300,889665.2400,3324.58,28.97
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968747.9200,889665.4000,3324.45,30.67
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968749.9400,889665.5900,3324.40,32.70
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968750.9900,889665.7000,3324.30,33.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968756.0600,889666.1800,3323.10,38.85
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968756.1900,889666.1900,3323.10,38.98
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968756.3800,889666.2100,3323.09,39.17
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968759.9300,889666.5500,3322.06,42.74
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968759.9700,889666.5500,3322.05,42.78
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968762.9800,889666.8400,3321.84,45.80
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968763.9300,889666.9300,3321.77,46.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968765.2700,889667.0600,3322.12,48.10
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968765.4900,889667.0800,3322.11,48.32
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968767.0500,889667.2300,3321.99,49.89
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968768.3500,889667.3500,3322.01,51.20
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968768.7900,889667.3900,3322.00,51.64
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968770.3000,889667.5400,3321.99,53.15
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968771.7600,889667.6800,3321.94,54.62
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968772.1200,889667.7100,3321.97,54.98
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968773.4000,889667.8300,3321.97,56.27
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968774.7200,889667.9600,3321.95,57.59
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968775.7900,889668.0600,3321.91,58.67
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968778.4600,889668.3100,3321.29,61.35
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968780.1700,889668.4800,3320.95,63.07
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968780.5700,889668.5200,3320.63,63.47
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968780.7900,889668.5400,3320.63,63.69
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968781.8200,889668.6400,3320.84,64.73
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968783.4200,889668.7900,3320.87,66.33
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968784.6000,889668.9000,3320.94,67.52
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968785.7300,889669.0100,3320.48,68.65
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968786.7600,889669.1100,3320.49,69.69
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968787.3400,889669.1600,3320.34,70.27
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968789.4500,889669.3600,3320.20,72.39
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968789.7700,889669.3900,3320.12,72.71
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968791.9200,889669.6000,3320.05,74.87
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968793.1300,889669.7100,3319.99,76.09
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968793.7200,889669.7700,3320.01,76.68
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968794.4800,889669.8400,3320.13,77.44
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968795.4700,889669.9400,3320.08,78.44
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968796.3400,889670.0200,3319.87,79.31
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968797.5200,889670.1300,3319.79,80.50
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968798.1300,889670.1900,3319.69,81.11
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968799.2300,889670.3000,3319.36,82.22
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968800.7500,889670.4400,3318.95,83.74
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968802.2000,889670.5800,3318.95,85.20
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968803.3600,889670.6900,3318.76,86.36
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968804.6700,889670.8200,3319.01,87.68
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/23/2017,Upstream,968806.3200,889670.9700,3319.44,89.34
