Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513753.51,2439446.95,2932.77,8
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513754.5,2439447.07,2932.78,9
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513755.5,2439447.19,2932.79,10
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513756.49,2439447.31,2932.53,11
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513757.48,2439447.43,2932.17,12
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513758.05,2439447.5,2932.03,12.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513759.04,2439447.64,2931.91,13.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513760.03,2439447.77,2931.78,14.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513761.02,2439447.91,2931.65,15.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513762.01,2439448.04,2931.53,16.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513763,2439448.18,2931.4,17.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513763.99,2439448.31,2931.34,18.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513764.99,2439448.45,2931.34,19.58
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513765.98,2439448.58,2931.33,20.58
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513766.97,2439448.72,2931.25,21.58
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513767.96,2439448.85,2931.23,22.57
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513768.74,2439448.96,2931.24,23.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513769.71,2439449.19,2931.69,24.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513770.69,2439449.42,2931.28,25.37
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513771.66,2439449.64,2931.21,26.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513772.63,2439449.87,2931.15,27.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513773.61,2439450.1,2931.16,28.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513774.58,2439450.33,2931.13,29.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513775.56,2439450.56,2931.1,30.37
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513776.53,2439450.78,2931.07,31.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513777.5,2439451.01,2931.04,32.36
S00313008+03271,Bighorn River,"7 miles southwest Hardin, Montana",9/5/2024,Upstream,513778.48,2439451.24,2931.01,33.37
