Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968728.42,889665.27,3329.25,12.00
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968730.16,889665.41,3328.65,13.75
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968730.18,889665.42,3328.65,13.77
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968730.23,889665.42,3328.63,13.82
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968733.27,889665.67,3328.20,16.87
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968734.02,889665.73,3327.91,17.62
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968737.88,889666.05,3326.29,21.49
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968739.95,889666.22,3325.68,23.57
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968740.61,889666.28,3325.60,24.23
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968746.96,889666.80,3325.17,30.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968748.16,889666.90,3325.17,31.81
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968748.69,889666.94,3325.27,32.34
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968749.26,889666.99,3325.36,32.91
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968753.17,889667.31,3324.87,36.84
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968753.93,889667.38,3324.47,37.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968754.94,889667.46,3323.52,38.61
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968757.97,889667.71,3322.86,41.65
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968759.71,889667.85,3322.73,43.40
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968761.68,889668.02,3322.75,45.38
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968761.92,889668.04,3322.74,45.62
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968764.80,889668.27,3322.36,48.51
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968764.88,889668.28,3322.35,48.59
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968765.61,889668.34,3322.45,49.32
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968766.45,889668.41,3322.40,50.16
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968766.55,889668.42,3322.40,50.26
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968766.87,889668.45,3322.37,50.58
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968769.33,889668.65,3322.18,53.05
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968770.33,889668.73,3322.01,54.05
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968771.37,889668.82,3322.04,55.10
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968771.55,889668.83,3322.06,55.28
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968771.99,889668.87,3322.01,55.72
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968773.08,889668.96,3321.95,56.81
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968773.57,889669.00,3321.89,57.31
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968774.89,889669.11,3322.14,58.63
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968774.91,889669.11,3322.14,58.65
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968776.03,889669.20,3322.11,59.77
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968776.95,889669.28,3322.07,60.70
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968779.20,889669.46,3321.96,62.95
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968779.97,889669.53,3322.08,63.73
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968780.68,889669.59,3322.18,64.44
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968782.63,889669.75,3321.91,66.40
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968782.89,889669.77,3321.88,66.66
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968782.97,889669.78,3321.87,66.74
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968783.36,889669.81,3321.93,67.13
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968783.83,889669.85,3322.01,67.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968783.92,889669.85,3322.01,67.69
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968783.97,889669.86,3322.00,67.74
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968788.61,889670.24,3321.67,72.40
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968790.50,889670.40,3321.22,74.29
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968791.34,889670.47,3321.09,75.14
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968792.02,889670.52,3321.27,75.82
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968792.84,889670.59,3321.06,76.64
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968794.40,889670.72,3321.42,78.21
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968794.53,889670.73,3321.43,78.34
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968796.42,889670.89,3321.46,80.23
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968796.50,889670.89,3321.47,80.31
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",8/10/2022,Upstream,968797.72,889670.99,3321.55,81.54
