Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968723.90,889664.54,3331.46,7.00
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968725.67,889664.27,3330.45,8.79
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968728.17,889664.26,3330.43,11.29
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968737.03,889669.32,3326.87,21.49
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968740.00,889669.69,3325.36,24.49
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968743.12,889668.18,3325.54,27.95
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968744.70,889668.21,3325.46,29.53
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968746.20,889669.19,3325.42,31.32
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968747.26,889668.45,3325.55,32.61
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968748.24,889668.60,3325.29,33.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968749.51,889667.77,3324.62,35.13
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968750.75,889667.69,3324.31,36.36
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968751.79,889667.78,3324.11,37.41
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968753.41,889668.77,3323.08,39.31
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968757.94,889668.71,3322.64,43.84
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968762.10,889668.55,3322.49,48.00
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968766.21,889668.35,3322.35,52.12
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968770.40,889667.98,3322.02,56.33
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968773.54,889668.24,3322.08,59.48
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968774.81,889668.10,3322.20,60.75
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968776.88,889668.19,3321.92,62.82
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968778.55,889668.61,3321.56,64.55
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968787.12,889670.22,3321.18,73.26
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968790.52,889669.72,3320.29,76.70
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968791.83,889669.77,3320.37,78.02
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968792.85,889669.96,3320.95,79.05
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968794.77,889670.21,3321.53,80.99
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968798.03,889670.29,3321.76,84.25
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968801.32,889671.70,3322.01,87.83
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968803.73,889670.27,3322.10,90.63
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968805.55,889671.79,3322.03,93.00
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968807.74,889672.11,3321.70,95.22
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968809.77,889671.94,3321.36,97.25
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968811.25,889671.41,3321.22,98.83
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968812.16,889670.84,3321.49,99.90
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968812.82,889669.94,3321.29,101.02
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968813.85,889669.92,3321.64,102.04
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968815.23,889670.25,3322.43,103.46
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968815.91,889670.54,3324.29,104.20
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968816.89,889670.78,3324.92,105.21
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968818.92,889671.11,3325.98,107.26
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968820.75,889671.30,3326.49,109.10
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968824.19,889671.92,3327.00,112.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968830.69,889672.16,3327.27,119.11
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968834.56,889672.49,3326.85,122.99
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968838.73,889673.10,3326.42,127.20
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968843.57,889674.13,3325.69,132.15
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968846.65,889673.97,3325.26,135.24
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968848.70,889674.08,3324.28,137.29
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968852.89,889675.33,3324.07,141.67
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968854.22,889675.49,3323.15,143.01
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968856.29,889675.87,3322.66,145.11
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968857.45,889676.28,3322.54,146.34
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968858.74,889675.87,3322.61,147.69
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968860.68,889676.02,3322.39,149.63
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968861.59,889675.68,3322.34,150.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968863.44,889676.37,3321.08,152.58
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968866.94,889676.63,3318.55,156.09
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968868.68,889677.72,3318.62,158.15
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968875.63,889679.84,3318.36,159.32
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968875.77,889679.86,3318.37,159.46
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968875.94,889679.88,3318.45,159.64
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968876.15,889679.90,3318.57,159.85
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968877.08,889680.00,3318.48,160.78
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968879.05,889680.21,3318.52,162.76
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968880.02,889680.32,3318.38,163.74
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968880.66,889680.39,3318.49,164.38
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968880.91,889680.42,3318.51,164.63
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968881.22,889680.45,3318.59,164.95
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968881.76,889680.51,3318.62,165.49
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968881.78,889680.51,3318.60,165.51
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968882.02,889680.54,3318.58,165.75
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968882.21,889680.56,3318.66,165.94
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968882.49,889680.59,3318.57,166.22
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",10/6/2020,Upstream,968882.61,889680.60,3318.58,166.34
