Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968716.5050,889663.2660,3332.33,1.75
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968721.0820,889663.7717,3332.77,6.60
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968724.0951,889664.1047,3332.25,9.64
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968725.1402,889664.2202,3331.82,10.69
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968726.9633,889664.4216,3330.89,12.52
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968730.2315,889664.7827,3329.93,15.81
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968730.9360,889664.8606,3328.89,16.52
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968731.3780,889664.9094,3328.92,16.96
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968731.8087,889664.9570,3330.02,17.40
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968734.1031,889665.2105,3327.32,19.71
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968734.2072,889665.2220,3328.08,19.81
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968737.3358,889665.5677,3327.14,22.96
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968738.5258,889665.6992,3326.37,24.15
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968739.9392,889665.8554,3325.40,25.58
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968741.6420,889666.0435,3324.00,27.29
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968743.3999,889666.2377,3323.60,29.06
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968745.4473,889666.4640,3323.33,31.12
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968747.1101,889666.6477,3323.52,32.79
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968750.5183,889667.0243,3323.32,36.22
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968752.6344,889667.2581,3322.94,38.35
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968756.5943,889667.6957,3322.41,42.33
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968759.3129,889667.9961,3322.27,45.07
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",11/22/2013,Upstream,968763.0480,889668.4088,3322.34,48.83
