Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968724.79,889663.25,3330.08,10
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968727.09,889663.49,3330.25,12.31
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968730.04,889663.8,3329.2,15.28
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968734.8,889664.3,3328.34,20.06
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968734.8,889664.3,3328.34,20.06
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968734.8,889664.3,3328.34,20.06
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968734.94,889664.31,3328.29,20.21
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968738.6,889664.7,3326.64,23.89
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968740.05,889664.85,3326.36,25.34
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968745.26,889665.4,3324.54,30.58
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968745.31,889665.4,3324.53,30.63
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968745.38,889665.41,3324.53,30.7
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968750.1,889665.9,3323.4,35.45
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968753.23,889666.23,3323.07,38.6
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968753.28,889666.24,3323.08,38.65
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968753.32,889666.24,3323.07,38.69
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968756.24,889666.55,3322.9,41.62
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968756.31,889666.56,3322.89,41.69
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968757.97,889666.73,3322.31,43.36
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968760.1,889666.95,3322.16,45.5
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968760.26,889666.97,3322.14,45.67
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968762.45,889667.2,3322.16,47.87
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968763.29,889667.29,3322.13,48.71
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968765.55,889667.52,3322,50.98
L32210 001+0.0801,Clark Fork,"4 miles southeast of Bonner/Turah, Montana",6/30/2016,Upstream,968765.72,889667.54,3322,51.16
