Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968724.970,889662.850,3331.67,8.00
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968730.670,889663.410,3329.54,13.73
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968730.710,889663.420,3329.52,13.77
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968730.770,889663.420,3329.50,13.83
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968740.490,889664.390,3325.91,23.60
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968740.720,889664.410,3325.88,23.83
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968747.210,889665.060,3325.64,30.35
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968751.430,889665.480,3324.85,34.59
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968751.600,889665.490,3324.85,34.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968755.090,889665.840,3323.27,38.27
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968755.270,889665.860,3323.26,38.45
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968758.470,889666.180,3323.01,41.67
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968758.560,889666.180,3322.99,41.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968765.920,889666.920,3322.57,49.15
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968766.030,889666.930,3322.51,49.26
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968766.840,889667.010,3322.46,50.08
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968767.150,889667.040,3322.46,50.39
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968767.360,889667.060,3322.45,50.60
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968767.800,889667.100,3322.44,51.04
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968774.850,889667.800,3322.08,58.13
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968775.390,889667.860,3322.06,58.67
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968777.470,889668.060,3321.86,60.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968777.480,889668.060,3321.86,60.77
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968779.080,889668.220,3322.04,62.38
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968780.490,889668.360,3321.98,63.79
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968781.490,889668.460,3321.86,64.80
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968781.590,889668.470,3322.07,64.90
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968783.040,889668.620,3326.76,66.36
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968784.990,889668.810,3328.37,68.32
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968786.060,889668.920,3327.36,69.39
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968787.290,889669.040,3321.74,70.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968787.780,889669.090,3321.56,71.12
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968789.540,889669.260,3321.45,72.89
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968789.940,889669.300,3321.21,73.29
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968790.380,889669.340,3321.15,73.73
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968790.550,889669.360,3321.07,73.90
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968792.340,889669.540,3321.33,75.70
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968793.000,889669.600,3321.48,76.37
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968793.580,889669.660,3321.53,76.95
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968794.160,889669.720,3321.64,77.53
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968795.390,889669.840,3321.72,78.77
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968797.870,889670.090,3321.83,81.26
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968798.450,889670.150,3321.87,81.84
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",7/9/2021,Upstream,968798.550,889670.160,3321.85,81.94
