Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968726.7200,889663.3100,3329.94,9.00
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968729.9100,889663.6200,3329.57,12.21
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968729.9400,889663.6200,3329.55,12.24
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968729.9900,889663.6300,3329.53,12.29
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968732.8700,889663.9000,3328.07,15.18
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968732.9900,889663.9200,3328.04,15.30
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968737.8000,889664.3800,3326.76,20.13
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968739.4200,889664.5300,3326.22,21.76
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968744.2300,889664.9900,3325.44,26.59
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968744.3300,889665.0000,3325.40,26.69
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968744.4400,889665.0100,3325.38,26.80
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968747.3300,889665.2900,3325.21,29.71
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968748.2500,889665.3800,3325.09,30.63
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968749.8600,889665.5400,3324.61,32.25
L32210 001+0.0801,Clark Fork," 4 miles southeast of Bonner/Turah, Montana",8/8/2018,Upstream,968751.6200,889665.7000,3324.44,34.02
